Date,Day,Topic,Reading & Practice,Lecture Video,Slide Deck,Notes,Additional Files
11-Jan,Tuesday,Introduction (course syllabus & policy),"Review: 
linear algebera, 
probability, 
and python","<a href = ""https://osu.zoom.us/rec/share/WzWuc5onkJ8AH3dttAdW7Y_NKZPH67FWLg_sHPlUHSnkfQqdEO0ALODUWXL-hsvc.8icTutIcGFnNedfM""> 01-11-22 </a>","1.<a href = ""https://osu.instructure.com/courses/114952/modules/items/7387354"">Lecture Slides</a> ",,
13-Jan,Thursday,"AI Agent Design
Search (a brief introduction)",AI: 1-2,"<a href = ""https://osu.zoom.us/rec/share/6OA_k4s_M-ax0GNoXCR_SNP0_4HBxIW8ay75jSlwfAEViFrL1Jxmix8eISWDSlt6.lJ66goUVys5LajDD""> 01-13-22 </a>","1.<a href = ""https://osu.instructure.com/courses/114952/modules/items/7387355"">Lecture Slides</a> ",,
18-Jan,Tuesday,Uninformed search,"AI: 3.1-3.5 
AI: 5.1-5.3","<a href = ""https://osu.zoom.us/rec/share/nqZl31TSzZ4tgzCkS7u5AvhzxfA8ctoRvjF_GLxJZeTBdixgtNrtw0vwDLJYfR_m.8-LkT0CB8lERzrUq""> 01-18-22 </a>","1.<a href = ""https://osu.instructure.com/courses/114952/modules/items/7387356"">Lecture Slides</a> ",,"1.<a href = ""/osu_cse3521_spring2022/course_materials/lecture_examples/GraphSearch.ipynb"">Graph Search</a>"
20-Jan,Thursday,Informed search,"AI: 3.1-3.5 
AI: 5.1-5.3","<a href = ""https://osu.zoom.us/rec/share/r1_6NHbaLDrFYUF3pJ5QF_hSYAz8hIV9BHinD8jt-jGVYDEdSg7Y4NK-PjgZPh0f.Cz4KgGXn8I_Orr_O""> 01-20-22 </a>","1.<a href = ""https://osu.instructure.com/courses/114952/modules/items/7387357"">Lecture Slides</a> ",,"1.<a href = ""/osu_cse3521_spring2022/course_materials/lecture_examples/GraphSearch.ipynb"">Graph Search</a>"
25-Jan,Tuesday,"Graph search
Adversarial search (Mini-Max/Alpha-Beta Pruning)","AI: 3.1-3.5 
AI: 5.1-5.3","<a href = ""https://osu.zoom.us/rec/share/3M_VYLviajEDQgw-sTcXgaK0IRvvtwcH-1ffyiGOjeDfLE0oLo7_svjWs_90L5JR.sA-ATlEC_7XOMEJh""> 01-25-22 </a>","1.<a href = ""https://osu.instructure.com/courses/114952/modules/items/7387358"">Lecture Slides</a> ","1.<a href = ""/osu_cse3521_spring2022/course_materials/HW/OSU_CSE_3521_2022_GRyslik-HW1.pdf"">HW 1</a>",
27-Jan,Thursday,"Symbolic AI & Logical Inference
Representation, inference rules","AI: 7.1-7.5 
AI: 8.1-8.3 
AI: 9.1-9.3, 9.5","<a href = ""https://osu.zoom.us/rec/share/uQNOt3YEsQsEgQ-j_OuwLe6IYzWq8yz5hYRR8_zcSJ16nmXxwFdjxFyqgY9H8oM.FZJjqTvu6ErUWTa-""> 01-27-22 </a>","1.<a href = ""https://osu.instructure.com/courses/114952/modules/items/7387359"">Lecture Slides</a> ",,
1-Feb,Tuesday,"Propositional logic, first-order logic","AI: 7.1-7.5 
AI: 8.1-8.3 
AI: 9.1-9.3, 9.5","<a href = ""https://osu.zoom.us/rec/share/oHknTvjhWhg1cEC9PBB-SHfkGGUjemIWINJsPDJsmrhjtCkNtflem3lWz8Xxyk4n.aPDV9wapvycVF6IK""> 02-01-22 </a>","1.<a href = ""https://osu.instructure.com/courses/114952/modules/items/7387360"">Lecture Slides</a> ",,
3-Feb,Thursday,"Data-to-Features and Dimensionality Reduction
Machine learning overview, application data, bag of words","PRML: 1.2.1, 1.2.2, 1.2.4 
PRML: 2.5",,"1.<a href = ""https://osu.instructure.com/courses/114952/modules/items/7387361"">Lecture Slides</a> ",,
8-Feb,Tuesday,"Histograms, non-parametric representations (Parzen)
data correlation","PRML: 1.2.1, 1.2.2, 1.2.4 
PRML: 2.5",,"1.<a href = ""https://osu.instructure.com/courses/114952/modules/items/7387362"">Lecture Slides</a> ",HW1 due <br> HW2 released,
10-Feb,Thursday,"Z-score, whitening
Dimensionality reduction: PCA & embedding (T-SNE)","PRML: 1.4
PRML: 12.1, 12.4.3",,"1.<a href = ""https://osu.instructure.com/courses/114952/modules/items/7387363"">Lecture Slides</a> ",,
